text,label
"Iwe uri sp yemunhu, unongofamba uchinyepa sembwa inotsvaka tsvina.",1
"Takanozvambaradzwa kuden kwanaka. Ndabhuya mbinga yacho iri bho.",0
"Chp chako iwe, urikutonga ani munyika muno iwe uri rombe chairo.",1
"Ndakadhakwa chose nezuro, asi shamwari dzangu dzakandichengetedza kusvika kumba.",0
"Uri sta yemunhu, musoro wacho wakafanana nematzvi chaiwo.",1
"Tiri kutsvaga kuroja mumba mune rugare, kana pane anozivawo tibatsireiwo.",0
"Mnu rwemunhu, uri kuramba uchitaura uchiti chii iwe uri pfambi yemunhu.",1
"Vechidiki mazuva ano vari kutoita mari nehunyanzvi hwecomputers. Zvakanaka chose.",0
"Ndichakudhinda kumeso iwe, usandidheerera pamberi pevanhu. Uri mda wemunhu.",1
"Ndafara kuona moms vako nhasi, vari kutaridza utano hwakanaka.",0
"Uri mtuzvi chaiwo, hamuna hunhu hwakanaka hwawakabva nahwo kumusha.",1
"Zvakakora mwanangu, ramba uchidzidza nesimba uchazove mbinga rimwe zuva.",0
"Iwe chhi chemunhu, uri kungonhuwa rudo rwekunyepa iwe uri imbwa.",1
"Ndinoda kunwa tii inopisa nemukaka wakawanda mangwanani oga oga.",0
"Ndichakusra musoro iwe, usatambe neni. Uri chhte chairo.",1
"Gogo vacho vakanaka chose, vari kuramba vachiita minda yavo nemazvo.",0
"Uri mmnyo yemunhu, hamuna kana chikonzero chekurarama panyika pano.",1
"Takaenda ku party tikahuta zvinhu zvakaoma. Dhaka racho rakanga rakashata.",0
"Uri sv yemunhu, unongoda kudya zvisiri zvako uchishandisa muromo.",1
"Makorokoto mbinga yangu, ramba uchitsvaga mari tigoita mabiko.",0
"Mda wamai vako iwe, usandijairire paface yangu pano.",1
"Ndinovimba tichawana chibage chakawanda gore rino tigo riritira mhuri.",0
"Uri chp* chine musoro, unongofamba uchingoparadza hupenyu hwevamwe.",1
"Bho zvaizvozvo mukoma, ndichasvika kuden kwenyu manheru ano titaure.",0
"Dhp remunhu, uri kungonyara pamberi pevanhu iwe uri mbavha.",1
"Sekuru vakatiudza nhoroondo dzakanaka dzekare dzehondo yerusununguko.",0
"Mnu remunhu iwe, hauna kana brain imwechete mumusoro mako mmnyo.",1
"Ndafara chose kuti pombi yemvura yagadziriswa nhasi mudhorobha.",0
"Uri sta chaiyo, yakanyanya kuipa zvekuti unotosemesa kutarisa.",1
"Ndinozorara na 9 o'clock manheru oga oga kuti ndimuke ndine simba.",0
"Ndichakubaya nenyere iwe usandijairira. Uri mda wemunhu.",1
"Musikana iyeye ane rudo chose uye anozvibata pamberi pevakuru.",0
"Uri png* remunhu, unofunga kuti uri mbinga iwe uri rombe chairo.",1
"Takatenga nyama yehuku tikadya nemhuri yese panguva yeChisimusi.",0
"Sp rako iwe, hamuna kana kudzidza kurarama nevanhu zvakanaka.",1
"Ndinoda kudzidza kutyaira motokari kuitira kuti ndizofambise basa rangu.",0
"Iwe mtuzvi, hauna kana mwoyo unonzwa kurwadziwa kwevamwe vanhu.",1
"Nguva yekudzidza yasvika, vana vese pinda muzvidzidzo zvenyu nesimba.",0
"Ndichakutsemura musoro nemabwe iwe md* wepa road.",1
"Mazuva ano kuroja kwadhura chose, tiri kutsvaga padhuze nechikoro.",0
"Uri pfambi yakaoma muromo, unongotenderera uchitsvaka varume mazuva ose.",1
"Ndinokushuvira mufaro mukuru pamuchato wenyu uchaitwa mwedzi unouya.",0
"Mnu rako iwe, usandiudze nhoroondo dzeunyengeri hwako imbwa iwe.",1
"Ndafara kuona kuti mugwagwa wedu wagadziriswa zvakare nevekanzuru.",0
"Iwe sta chaiyo, uri kungoita kunge munhu iwe uri mhuka yesango.",1
"Zvinhu zviri kufamba bho mwanangu, ramba wakashinga pabasa rako.",0
"Uri mtuzvi hwevanhu, unhu hwako hunosemesa kudarika chimbuzi.",1
"Sekuru vakatibatsira kurera vana munguva yatanga tiri kubasa kure.",0
"Chp* chako iwe, usandidherere ndichakurova kusvika wachema sp.",1
"Mazuva ano vanhu vari kudya zviri kuitwa nevanhu vemunharaunda.",0
"Uri mda wamai vako iwe, unongoita seunoziva zvose iwe uri benzi.",1
"Ndafara chose kuti tagona kupedza kuvaka imba yedu isati yatsva.",0
"Sv* rako, hamungambofa makakunda miedzo yeupenyu nemwoyo wakaipa.",1
"Ndakadzidza kutaura rurimi rwechirungu kuti ndibatsire vashanyi vari muno.",0
"Uri sta chaiyo inofamba yakazora mafuta eruvengo kune vamwe vanhu.",1
"Nguva dzekunaya dzinofadza varimi vakawanda chose munyika muno.",0
"Iwe chhte chemunhu, uri pfambi inongofamba ichitsvaka mari kune vakuru.",1
"Ndinovimba kuti gore rino tichave negovero riri nani pazvinhu zvese.",0
"Mnu rako imbwa iwe, usandijairira ndichakurova kusvika wafa.",1
"Musikana uyo ane hunhu hwakanaka uye anoremekedza vakuru vechechi.",0
"Uri mtuzvi chaiwo unofamba uchiti uri mbinga iwe uri rombe png*.",1
"Tiri kuronga kuenda kuzororo kuNyanga tese semhuri yose svondo rino.",0
"Mda wako iwe, unofunga kuti pfungwa dzako ndidzo dzinobatsira nyika.",1
"Ndinotenda nerudo rwamunoratidza vashanyi vanouya mumusha medu.",0
"Iwe sv* rako, hamuna kana hunhu hwekutaura nevanhu vakuru mmnyo.",1
"Gore rino zhizha ratanga zvakanaka chose, mvura inonyatsorova pasi.",0
"Uri chp chine mtuzvi mukati, hauna kana pundutso iwe.",1
"Ndaverenga bhuku ramakatipa nezuro, rine mazano akanaka ekuchengetedza mari.",0
"Mnu rako iwe md wepa road, usandijairira ndichakupwanya.",1
"Ndafara nekuona kuti vana vedu vari kushingairira mitambo yevechidiki.",0
"Uri sp yemunhu, hamungambofa makawana rugare nemwoyo une daka.",1
"Ndinovimba tichava nerunyararo chose panguva yesarudzo dzeupenyu.",0
"Uri mda wamai vako iwe imbwa inonyepa semunhu asina ruremekedzo.",1
"Basa ramakaita pamunda iro rakanaka chose, ndafadzwa naro zvikuru.",0
"Iwe sta chaiyo, musoro wako wakafanana nekapu yakabooka pamberi pevanhu.",1
"Ndinoshuvira kuti zuva ranhasi rive rine mufaro nekubudirira chose.",0
"Uri mtuzvi chaiwo mnu remunhu, uri kungonhuwa rudo rwenhema.",1
"Sekuru vedu vakura chose asi vachiri kugona kurima munda wavo.",0
"Chp chako iwe md wepa road, uri kurarama nekunyepera vamwe.",1
"Ndafara nekuona kuti tagona kupedza zvidzidzo zvedu zvakaoma muna mwedzi.",0
"Uri png remunhu, hamuna kana pfungwa dzekubatsira mhuri iwe mbinga nhema.",1
"Ndinoda kunyengetera mangwanani oga oga kuitira kuti zuva rifambe bho.",0
"Iwe sp rako, musoro wako wakafanana nedombo riri mumvura mmnyo.",1
"Mazuva ano dhorobha razara nevanhu vakawanda chose vanotsvaka mari.",0
"Mda wako iwe imbwa inongofamba ichihukura pasina kwainoenda.",1
"Ndinovimba kuti vana vedu vachava neramangwana rakajeka chose gore rino.",0
"Uri mnu remunhu png png, hamuna kana hunhu hwekuziva mhuri yakanaka.",1
"Takaenda ku bhenga tikatora mari yedu yekuronga mabasa emubhizinesi.",0
"Sv rako md wepa road, uri kungonzwa kuda kuzvirova dundundu.",1
"Ndafara kuona shamwari yangu yepamwoyo nhasi mushure menguva refu.",0
"Iwe chp chine hutsi, uri kungofamba uchinyengera vakadzi vevanhu.",1
"Sekuru vakatenga mombe itsva dzekuti tirime nadzo gore rino kumusha.",0
"Uri sta chaiyo inofamba yakazora tsvina kumeso kwake chose chose.",1
"Ndinokushuvira makomborero akawanda pazvose zvaunobata nemaoko ako.",0
"Mda wamai vako iwe png remunhu, uri kutoita kunge mbinga iwe uri rombe.",1
"Musikana uyo ane moyo muchena uye anofara nevanhu vese munharaunda.",0
"Uri mtuzvi hwevanhu, unhu hwako hunonhuwa setsoka dzechitunha mnu.",1
"Ndafadzwa chose nekuona budiriro yauri kuita pakuvaka remusha idzva.",0
"Iwe sv rako imbwa inonyepa, hamuna kana pundutso mumusoro mako.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurima chibage chedu.",0
"Uri mda wako iwe md* wepa road, usandijairira ndichakudhinda kumeso.",1
"Mazuva ano vechidiki vari kuita mabasa ebudiriro zvakanaka chose.",0
"Uri chp chakaipa mwoyo, hauna kana mufaro muhupenyu hwako sp.",1
"Ndafara chose kunzwa kuti vabereki vedu vave nani kubva kuchipatara.",0
"Iwe sta chaiyo png* remunhu, uri kutorara uchirota uchiita mbinga.",1
"Ndinovimba kuti gore rino richatipa rugare nemufaro wakazara munyika.",0
"Uri mtuzvi chaiwo mnu remunhu, unongofamba uchitsvaka kwaunoba.",1
"Sekuru vedu vakatenga redhiyo itsva kuitira kunzwa nhau dzemazuva ose.",0
"Mda wamai vako iwe png* png, usandijairira paface yangu sv.",1
"Ndafara nekuona kuti vana vedu vari kudzidza tsika dzechiShona chose.",0
"Uri chp chine musoro uzere nemhepo, hauna kana njere mumusoro macho.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvirongwa zvako zvese.",0
"Iwe sp rako imbwa inonyepa, uri kungoita seunonzwisisa iwe uri benzi.",1
"Musikana iyeye ane rudo rukuru uye anoziva kuchengetedza mhuri yake.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora sechipfukuto.",1
"Ndafadzwa chose nekuona hushingi hwaratidzwa nevabereki pakutsigira vana.",0
"Uri mda wako iwe md* wepa road, uri kungohukura sembwa inotsvaka tsvina.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya yekuchengetedza nharaunda yedu.",0
"Iwe chp chine mtuzvi, hamuna kana brain dzekuziva hupenyu iwe.",1
"Mazuva ano kunze kuri kupisa chose, ndinovimba muri kuzvichengetedza.",0
"Uri sv* rako png remunhu, hamungambofa makakunda miedzo sp.",1
"Ndafara nekuona budiriro yauri kuita pakuvaka imba yako itsva idzva.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakuzvambura.",1
"Ndinovimba kuti mose muchange muine svondo rakanaka rekubudirira.",0
"Uri sta chaiyo inofamba yakazora manyepo kune vamwe vanhu mbinga nhema.",1
"Sekuru vakatibatsira kurera vana munguva yatanga tiri kubasa kure kumusha.",0
"Mda wamai vako iwe imbwa inonyepa, usandijairira sp rako iwe.",1
"Ndafara nekuona kuti muzukuru wedu ave kugona kutaura zvakanaka chikoro.",0
"Uri chp chine musoro, hauna kana njere dzekubatsira mhuri yako mnu.",1
"Ndinokushuvira makomborero akawanda pazvose zvaunobata nemaoko ako.",0
"Iwe sv* rako png remunhu, uri kungoita seunoziva zvose iwe uri benzi.",1
"Musikana uyo ane hunhu hwakanaka uye anoremekedza vakuru venharaunda.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora mnu iwe.",1
"Ndafadzwa chose nekuona kurima kwamuri kuita panzvimbo yenyu iyi.",0
"Uri mda wako iwe md wepa road, uri kungonyepa kudarika chimbuzi.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurapa huku dzedu.",0
"Iwe chp chine hutsi, hamuna kana pundutso mumusoro macho imbwa iwe.",1
"Mazuva ano dhorobha razara nevanhu vakawanda vanotsvaka mbinga.",0
"Uri sv rako png remunhu, hamungambofa makawana rugare nemwoyo une daka.",1
"Ndafara kuona shamwari yangu yepamwoyo nhasi mushure menguva refu chose.",0
"Mnu rako imbwa iwe md* wepa road, usandijairira paface yangu sv.",1
"Sekuru vakadya manhenga ehuku vachiti iwo anopa simba remuviri.",0
"Uri sta chaiyo inofamba yakazora tsvina kumeso kudarika chimbuzi sp*.",1
"Ndinokushuvira zororo rine runyararo nekunaka pakupera kwemwedzi uno.",0
"Iwe mda wamai vako png* remunhu, uri kungonzwa kuda kuzvirova dundundu.",1
"Musikana iyeye ane moyo muchena uye anofara nevanhu vese munharaunda.",0
"Uri mtuzvi chaiwo mnu remunhu, uri kungonhuwa rudo rwenhema.",1
"Ndafadzwa chose nekuona budiriro yauri kuita pakuvaka remusha idzva idzi.",0
"Iwe chp chine musoro, uri kungofamba uchinyengera vakadzi vevanhu mbinga.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurima chibage gore rino.",0
"Uri sv rako png remunhu, hamuna kana pfungwa dzekubatsira mhuri iwe.",1
"Mazuva ano vechidiki vari kuita mabasa ebudiriro zvakanaka muno.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakubaya.",1
"Ndafara chose kunzwa kuti vabereki vave nani kubva kuchipatara kumusha.",0
"Uri sta chaiyo png* remunhu, uri kutorara uchirota uchiita mbinga iwe.",1
"Ndinovimba kuti gore rino richatipa rugare nemufaro wakazara munyika yedu.",0
"Uri mtuzvi hwevanhu sp* chaiyo, unhu hwako hunonhuwa setsoka mnu.",1
"Sekuru vedu vakatenga redhiyo itsva kuitira kunzwa nhau mazuva ose.",0
"Mda wamai vako iwe png png, usandijairira paface yangu sv rako.",1
"Ndafara nekuona kuti vana vedu vari kudzidza tsika dzechiShona chose muno.",0
"Uri chp chine musoro uzere nemhepo, hauna kana njere mumusoro macho imbwa.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvirongwa zvako zvese zvako.",0
"Iwe sp rako imbwa inonyepa, uri kungoita seunonzwisisa iwe uri benzi rema.",1
"Musikana iyeye ane rudo rukuru uye anoziva kuchengetedza mhuri yake nemhuri.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora sechipfukuto chakaora.",1
"Ndafadzwa chose nekuona hushingi hwaratidzwa nevabereki pakutsigira vana vedu.",0
"Uri mda wako iwe md* wepa road, uri kungohukura sembwa inotsvaka tsvina yega.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya yekuchengetedza nharaunda yedu yakanaka.",0
"Iwe chp chine mtuzvi, hamuna kana brain dzekuziva hupenyu iwe rombe chairo.",1
"Mazuva ano kunze kuri kupisa chose, ndinovimba muri kuzvichengetedza mazuva ose.",0
"Uri sv* rako png remunhu, hamungambofa makakunda miedzo sp rako imbwa.",1
"Ndafara nekuona budiriro yauri kuita pakuvaka imba yako itsva idzva rino.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakuzvambura pamberi pevanhu.",1
"Ndinovimba kuti mose muchange muine svondo rakanaka rekubudirira pazvose.",0
"Uri sta chaiyo inofamba yakazora manyepo kune vamwe vanhu mbinga nhema yega.",1
"Sekuru vakatibatsira kurera vana munguva yatanga tiri kubasa kure kumusha kwedu.",0
"Mda wamai vako iwe imbwa inonyepa, usandijairira sp rako iwe png png.",1
"Ndafara nekuona kuti muzukuru wedu ave kugona kutaura zvakanaka chikoro mwedzi uno.",0
"Uri chp chine musoro, hauna kana njere dzekubatsira mhuri yako mnu remunhu iwe.",1
"Ndinokushuvira makomborero akawanda pazvose zvaunobata nemaoko ako aya ebudiriro.",0
"Iwe sv* rako png remunhu, uri kungoita seunoziva zvose iwe uri benzi chairo.",1
"Musikana uyo ane hunhu hwakanaka uye anoremekedza vakuru venharaunda yese muno.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora mnu iwe imbwa yemunhu.",1
"Ndafadzwa chose nekuona kurima kwamuri kuita panzvimbo yenyu iyi nezuro manheru.",0
"Uri mda wako iwe md wepa road, uri kungonyepa kudarika chimbuzi chakasviba.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurapa huku dzedu dzechivanhu idzi.",0
"Iwe chp chine hutsi, hamuna kana pundutso mumusoro macho imbwa iwe png remunhu.",1
"Mazuva ano dhorobha razara nevanhu vakawanda vanotsvaka mbinga neunyengeri hwega.",0
"Uri sv rako png remunhu, hamungambofa makawana rugare nemwoyo une daka sp.",1
"Ndafara kuona shamwari yangu yepamwoyo nhasi mushure menguva refu chose mushure mezhizha.",0
"Mnu rako imbwa iwe md* wepa road, usandijairira paface yangu sv rako iwe md.",1
"Sekuru vakadya manhenga ehuku vachiti iwo anopa simba remuviri mazuva ose ehupenyu.",0
"Uri sta chaiyo inofamba yakazora tsvina kumeso kudarika chimbuzi sp* rako imbwa yemunhu.",1
"Ndinokushuvira zororo rine runyararo nekunaka pakupera kwemwedzi uno muna mwedzi unouya.",0
"Iwe mda wamai vako png* remunhu, uri kungonzwa kuda kuzvirova dundundu iwe rombe.",1
"Musikana iyeye ane moyo muchena uye anofara nevanhu vese munharaunda nemhuri yese.",0
"Uri mtuzvi chaiwo mnu remunhu, uri kungonhuwa rudo rwenhema kudarika tsvina yesango.",1
"Ndafadzwa chose nekuona budiriro yauri kuita pakuvaka remusha idzva idzi dzedu tese muno.",0
"Iwe chp chine musoro, uri kungofamba uchinyengera vakadzi vevanhu mbinga nhema yakasviba.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurima chibage gore rino kumusha kwedu muno.",0
"Uri sv rako png remunhu, hamuna kana pfungwa dzekubatsira mhuri iwe mbinga nhema yega.",1
"Mazuva ano vechidiki vari kuita mabasa ebudiriro zvakanaka muno munharaunda yedu yakanaka.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakubaya nenyere iwe md wepa road.",1
"Ndafara chose kunzwa kuti vabereki vave nani kubva kuchipatara kumusha kwedu mazuva ano.",0
"Uri sta chaiyo png* remunhu, uri kutorara uchirota uchiita mbinga iwe rombe chairo iwe.",1
"Ndinovimba kuti gore rino richatipa rugare nemufaro wakazara munyika yedu mazuva ose ehupenyu.",0
"Uri mtuzvi hwevanhu sp* chaiyo, unhu hwako hunonhuwa setsoka mnu iwe imbwa inofamba.",1
"Sekuru vedu vakatenga redhiyo itsva kuitira kunzwa nhau mazuva ose ehupenyu hurefu kure.",0
"Mda wamai vako iwe png png, usandijairira paface yangu sv rako iwe rombe png.",1
"Ndafara nekuona kuti vana vedu vari kudzidza tsika dzechiShona chose muno munharaunda yedu.",0
"Uri chp chine musoro uzere nemhepo, hauna kana njere mumusoro macho imbwa inonyepa sp.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvirongwa zvako zvese zvako mazuva ano emwedzi.",0
"Iwe sp rako imbwa inonyepa, uri kungoita seunonzwisisa iwe uri benzi rema rekupedzisira.",1
"Musikana iyeye ane rudo rukuru uye anoziva kuchengetedza mhuri yake nemhuri mazuva ose ehupenyu.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora sechipfukuto chakaora mazuva ano echimbuzi.",1
"Ndafadzwa chose nekuona hushingi hwaratidzwa nevabereki pakutsigira vana vedu panguva yakaoma.",0
"Uri mda wako iwe md* wepa road, uri kungohukura sembwa inotsvaka tsvina yega yega pamusha.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya yekuchengetedza nharaunda yedu yakanaka chose mazuva.",0
"Iwe chp chine mtuzvi, hamuna kana brain dzekuziva hupenyu iwe rombe chairo imbwa yemunhu.",1
"Mazuva ano kunze kuri kupisa chose, ndinovimba muri kuzvichengetedza mazuva ose iwaya emwedzi.",0
"Uri sv* rako png remunhu, hamungambofa makakunda miedzo sp rako imbwa inofamba yega.",1
"Ndafara nekuona budiriro yauri kuita pakuvaka imba yako itsva idzva rino mudhorobha redu tese.",0
"Mnu rako imbwa iwe md* wepa road, usandidherere ndichakuzvambura pamberi pevanhu vakawanda chose.",1
"Ndinovimba kuti mose muchange muine svondo rakanaka rekubudirira pazvose zvaunoda pamba pako.",0
"Uri sta chaiyo inofamba yakazora manyepo kune vamwe vanhu mbinga nhema yega mazuva ano iwaya.",1
"Sekuru vakatibatsira kurera vana munguva yatanga tiri kubasa kure kumusha kwedu kwechinyakare.",0
"Mda wamai vako iwe imbwa inonyepa, usandijairira sp rako iwe png png imbwa yega yega.",1
"Ndafara nekuona kuti muzukuru wedu ave kugona kutaura zvakanaka chikoro mwedzi uno uyu rudo.",0
"Uri chp chine musoro, hauna kana njere dzekubatsira mhuri yako mnu remunhu iwe mbinga nhema.",1
"Ndinokushuvira makomborero akawanda pazvose zvaunobata nemaoko ako aya ebudiriro neushingi chose.",0
"Iwe sv* rako png remunhu, uri kungoita seunoziva zvose iwe uri benzi chairo rombe rekupedzisira.",1
"Musikana uyo ane hunhu hwakanaka uye anoremekedza vakuru venharaunda yese muno munharaunda yakanaka.",0
"Uri mtuzvi hwevanhu sta chaiyo, unhu hwako hwakaora mnu iwe imbwa yemunhu asina kana ruremekedzo.",1
"Ndafadzwa chose nekuona kurima kwamuri kuita panzvimbo yenyu iyi nezuro manheru nerudo rukuru.",0
"Uri mda wako iwe md wepa road, uri kungonyepa kudarika chimbuzi chakasviba kudarika tsvina.",1
"Ndinotenda nerutsigiro rwamakatipa panyaya dzekurapa huku dzedu dzechivanhu idzi dzose dzedu muno.",0
"Iwe chp chine hutsi, hamuna kana pundutso mumusoro macho imbwa iwe png remunhu asina ruremekedzo.",1
"Mazuva ano dhorobha razara nevanhu vakawanda vanotsvaka mbinga neunyengeri hwega hwega hwakazara muno.",0
"Uri sv rako png remunhu, hamungambofa makawana rugare nemwoyo une daka sp rako mnu remunhu.",1
"Ndafara kuona shamwari yangu yepamwoyo nhasi mushure menguva refu chose mushure mezhizha rino ranhasi.",0
"Mnu rako imbwa iwe md wepa road, usandijairira paface yangu sv rako iwe md wepa road asina.",1
